"variable","mean","median","sd","mad","q2.5","q97.5","rhat","ess_bulk","ess_tail"
"alpha",-0.000300349583542,-0.00054890311,0.0137196540458418,0.01220060191245,-0.02744290665,0.028443541725,1.00295095576172,1931.10632290437,2297.76783529927
"beta_treat",0.00891758847155,0.0089734048,0.00237782239576891,0.0023219080143,0.0041039373225,0.013473706975,1.00234470389616,1410.70728189808,2030.63744666465
"beta_cross_treat",0.00267428780446929,0.0026728046,0.00155287107349637,0.00151592017479,-0.00037264062975,0.005757027685,0.999974488142065,3929.03722446544,2755.07281261585
"sigma_party",0.0186637110382155,0.0149754185,0.0162490792368249,0.0128876013168,0.000717851859,0.0609586488,1.00817180734364,792.274405440399,1762.87914675829
"sigma_year",0.0104496277454471,0.00759405235,0.010308803200425,0.00705712062489,0.00038536499475,0.037669255325,1.00093976008328,1141.18203158258,1606.91798257657
"sigma_land",0.000740892384487988,0.000610155555,0.000597517186962343,0.000549078737991,2.4709542175e-05,0.002236547725,1.00234778631585,1123.01118140605,1636.42818313158
"sigma_yp",0.04680282433125,0.04614436,0.00658884082010568,0.00615133038029999,0.035927117325,0.062124496,1.00058711443808,1589.39597293945,2316.53257742748
"sigma_yl",0.000741054915920965,0.000625465325,0.000559202329834954,0.000551897990847,3.2973509325e-05,0.0021031752175,1.00121331219818,873.350248506818,1469.10558998913
"sigma_pl",0.00160797045154412,0.0013723812,0.00117957398191296,0.001209795009843,4.63077073e-05,0.0042965728175,1.02615129238879,170.427089001719,274.817185733904
"sigma_ypl",0.01762901267,0.017603804,0.000602684368980173,0.0006008955561,0.016490176,0.018863334125,1.00455141286901,1004.93807828655,1950.32420652834
"sigma",0.0105185705275,0.0105187685,7.4851507503317e-05,7.56466997999998e-05,0.010374353875,0.01066682105,1.00221344914508,5811.25528878571,2820.98870106389
