© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 15. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr;Land;Wahlkreisnamen;Bemerkungen;Gemeinden am 30.12.2001;Fläche am 31.12.1999 (in km2);Bevölkerung am 31.12.1999 (in 1000);;;Bevölkerungsdichte am 31.12.1999 (Einwohner je km2);Bevölkerung im Alter von ... bis unter ... Jahren am 31.12.1999 (in %);;;;;;Bevölkerungsbewegung 1999 (je 1000 Einwohner);;;;;Landwirtschaft 1999;;Bergbau- und verarb. Gewerbe am 30.09.1999;;Bautätigkeit und Wohnungswesen (je 1000 Einwohner);;Kfz-Bestand am 31.07.2000 (je 1000 Einwohner);Schulabgänger nach Abschlussarten 1999;;;;;Arbeitslosenquote Ende Dezember;;Sozialversicherungspflichtig Beschäftigte am 31.12.2000;;;;
;;;;;;insgesamt;männlich;Deutsche;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- bzw. Abnahme (-);Betriebe (je 1000 Einwohner);landwirtschaftlich genutzte Fläche (LF) (ha je Betrieb);Betriebe (je 1000 Einwohner);Beschäftigte (je 1000 Einwohner);Fertiggestellte Wohnungen 1999;Bestand an Wohnungen am 31.12.1999;;insgesamt (je 1000 Einwohner);ohne Hauptschulabschluss (in %);mit Hauptschulabschluss (in %);mit Realschulabschluss (in %);mit allgemeiner Hochschulreife (in %);2000;2001;insgesamt (je 1000 Einwohner);"Land- und Forstwirtschaft; Fischerei (in %)";Produzierendes Gewerbe (in %);"Handel u. Verkehr; Nachrichtenübermittlung (in %)";übrige Dienstleistungen (in %)
1;SH;Flensburg - Schleswig;;137;2128,1;280,9;138,6;267;132;17,1;3,2;7,9;15;33,6;23,3;10,4;10,7;55,9;50;5,5;10,5;51;0,4;47,6;6,6;459,2;640;11;9,9;38;29,4;20,8;10,1;10,5;289,9;1,9;27,7;24,6;45,8
2;SH;Nordfriesland - Dithmarschen-Nord;;202;2743,8;232,4;113,9;223,3;85;17,3;3,2;7,5;14,9;33,1;24;10,8;10,4;41,8;36,8;5,5;18,5;49;0,4;21,1;9,9;510,7;705,4;11,3;8,9;41,1;34,7;14,4;10,9;10,9;274,8;2,1;21,9;26,1;49,9
3;SH;Steinburg - Dithmarschen-Süd;;181;2001,3;227;111,9;217,9;113;17,4;3,2;7;14,3;34;24,1;10,4;11,5;36,3;31,6;3,7;13,4;48,5;0,5;51,8;6,8;456;677,2;11,1;11,7;38,8;31,7;16;10,2;10,7;249,3;2,2;36,9;18,9;42,1
4;SH;Rendsburg-Eckernförde;;164;2161,2;245,8;121,8;237,3;114;17,2;3,2;7,1;14,5;35,4;22,6;10,5;10;49,4;40,6;9,2;10,8;50,3;0,4;28,1;7,1;432,5;680,1;9,2;10,5;35,1;33,8;19;8,5;8,6;251,8;2,8;28,7;22,7;45,8
5;SH;Kiel;;3;142,8;256,2;124,1;233,3;1795;13,1;2,4;8,7;18,9;34,4;22,6;9,6;11,2;55,7;69,2;-15,2;0,3;26,1;0,4;64,7;2,6;550,8;508,6;9,4;10,3;28;29,1;29,9;11,6;12,5;425,5;0,2;21,4;20,7;57,7
6;SH;Plön - Neumünster;;93;1301,4;223,8;111,1;213,7;172;16,1;3;7,1;15,4;34,5;23,8;9,3;11,3;51,2;46,6;2,6;5,8;57,5;0,5;41,1;6,4;465,4;622,1;10,3;10,4;36,4;27,7;23,5;10;10,7;256,3;2;28,8;25,8;43,4
7;SH;Pinneberg;;49;664,3;289,6;141,8;269,1;436;15,8;2,8;6,6;14,8;36,8;23,1;9,3;10,2;47,4;41,5;5;4,8;27,4;0,6;55,9;6,5;461,1;636,9;9,9;8,7;30,5;33;26,2;8,3;8,6;272,6;2,9;31,8;30;35,3
8;SH;Segeberg - Stormarn-Nord;;95;1333,4;287,3;140,9;272,4;215;16,9;3,1;7;15;37,1;20,9;10;9,6;52,9;41,9;11,4;7,2;45,3;0,8;63,7;10;429,7;725,2;9,6;10;34,6;35,3;18,8;7,2;7,5;300,6;1,5;35;29,2;34,3
9;SH;Ostholstein;;52;1532,2;219,5;106,2;211,1;143;15;3;6,8;13,7;35,1;26,4;8,5;11,5;47,7;38,6;6,1;6,9;67,9;0,4;27,8;6,9;507,1;650,4;9,8;10,9;35,7;35,8;16,3;11,6;11,3;241,5;2,1;27,6;22,2;48,1
