© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 14. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bemerkungen Spaltenbeschriftung:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1 Bevölkerung am 25.05.1987: Berlin-Ost (Wkr. 249, 258-261), Mecklenburg-Vorpommern, Brandenburg, Sachsen-Anhalt, Thüringen und Sachsen per 03.10.1990.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2 Kfz-Bestand: Baden-Württemberg ohne Fahrzeuge der Bundespost. Sachsen-Anhalt und Thüringen einschl. Arbeitsmaschinen ohne Fahrzeugbrief. In Sachsen einschl. Fahrzeuge, die durch die Gebietsreform regional nicht zugeord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3 Landwirtschaftliche Betriebe: In Mecklenburg-Vorpommern wurden die Ergebnisse der Stadtkreise bei der Landessumme, nicht jedoch bei den Wahlkreisergebnissen berücksichtigt. In Sachsen sind die Ergebnisse in den benachbarten Kreisen enthalten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Land;Wahlkreis;;Gemeinden;Fläche;Bevölkerung;;;;Bevölkerungsdichte am 31.12.1996;Bevölkerung im Alter von ... bis unter ... Jahren 1996;;;;;;Bevölkerungsbewegung 1996;;;;;Landwirtschaftliche Betriebe 1995;;;;;Bergbau- und verarbeitendes Gewerbe 1995;;Kfz-Bestand am 01.07.1996;;Bautätigkeit und Wohnungswesen;;Sozialversicherungspflichtige Arbeitnehmer am 31.03.1997;;;;;Arbeitslosenquote Ende Dezember;;Fußnoten
;;;;;25.05.1987;31.12.1996;;;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- (+) bzw. Abnahme (-);insgesamt;davon mit ... bis unter ... ha LF;;;;;;;;Fertiggestellte Wohnungen 1995;Bestand an Wohnungen am 31.12.1995;insgesamt;davon in der;;;;;;
;;;am 31.12.1996;;insgesamt;;und zwar:;;;;;;;;;;;;;;;1 - 5;5 - 20;20 - 50;50 und mehr;Betriebe;Beschäftigte;insgesamt;dar. PKW, Kombi;;;;Land- und Forstwirtschaft;Produzierendes Gewerbe;Handel und Verkehr;übrige Dienstleistungen;1996;1997;
;;;;;;;männlich;Deutsche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nr.;Name;Anzahl;km²;1 000;;;;Einwohner je km²;%;;;;;;je 1 000 Einwohner;;;;;je 1 000 Einwohner;%;;;;je 1 000 Einwohner;;;%;je 1 000 Einwohner;;;%;;;;;;
;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
SH;001;Flensburg – Schleswig;137;2 128,0;263,1;277,3 ;136,6;264,1;130;16,9  ;3,2  ;8,0  ;16,8  ;33,6  ;21,5  ;11,2  ;11,6  ;57,1  ;49,8  ;+   6,8;13,4  ;25,4 ;17,3 ;20,5 ;36,8;0,4;48,3;606,1 ;82,6  ;7,8  ;442,3;284,5 ;2,1    ;30,6    ;21,6    ;45,7    ;11,8  ;12,8;
SH;002;Nordfriesland – Dithmarschen-Nord  ;197;2 669,7;206,2;219,2 ;107,6;211,1;82;16,9  ;3,2  ;8,1  ;16,5  ;33,1  ;22,2  ;11,4  ;10,7  ;47,2  ;37,4  ;+  10,4;23,5  ;22,9 ;18,3 ;25,3 ;33,4;0,3;17,1;662,2 ;80,9  ;14,0  ;487,7;281,2 ;2,2    ;24,7    ;21,6    ;51,5    ;12,7  ;14,1;
SH;003;Steinburg – Dithmarschen-Süd ;171;1 872,4;197,6;210,4 ;103,7;202,9;112;17,1  ;3,2  ;7,3  ;16,2  ;33,8  ;22,4  ;11,1  ;12,0  ;45,5  ;36,0  ;+   8,5;17,1  ;25,7 ;17,5 ;22,5 ;34,3;0,5;57,5;646,3 ;81,1  ;8,4  ;438,5;245,8 ;2,4    ;43,9    ;16,2    ;37,4    ;10,5  ;12,0;
SH;004;Rendsburg-Eckernförde;166;2 185,8;242,3;260,7 ;128,8;251,9;119;16,8  ;3,2  ;7,6  ;16,1  ;35,5  ;20,8  ;10,8  ;10,9  ;49,8  ;39,5  ;+  10,3;13,4  ;25,6 ;18,5 ;22,5 ;33,4;0,4;32,1;638,1 ;82,9  ;9,2  ;419,4;242,8 ;3,0    ;34,0    ;18,9    ;44,1    ;10,4  ;11,3;
SH;005;Kiel;1;116,8;237,8;243,7 ;117,9;223,0;2 086;13,0  ;2,3  ;8,8  ;21,7  ;32,9  ;21,3  ;10,2  ;11,3  ;54,5  ;62,9  ;-   9,5;0,4  ;58,6 ;16,2 ;10,1 ;15,2;0,5;70,4;500,2 ;87,5  ;5,8  ;507,1;419,4 ;0,2    ;24,6    ;19,7    ;55,4    ;13,8  ;15,0;
