"district_number_2025","district_name","district_number_2021","Wahlberechtigte_Erststimmen_then","Wahlberechtigte_Erststimmen_prev","Wahlberechtigte_Erststimmen_diff","Wahlberechtigte_Zweitstimmen_then","Wahlberechtigte_Zweitstimmen_prev","Wahlberechtigte_Zweitstimmen_diff","Waehlende_Erststimmen_then","Waehlende_Erststimmen_prev","Waehlende_Erststimmen_diff","Waehlende_Zweitstimmen_then","Waehlende_Zweitstimmen_prev","Waehlende_Zweitstimmen_diff","Ungueltige_Erststimmen_then","Ungueltige_Erststimmen_prev","Ungueltige_Erststimmen_diff","Ungueltige_Zweitstimmen_then","Ungueltige_Zweitstimmen_prev","Ungueltige_Zweitstimmen_diff","Gueltige_Erststimmen_then","Gueltige_Erststimmen_prev","Gueltige_Erststimmen_diff","Gueltige_Zweitstimmen_then","Gueltige_Zweitstimmen_prev","Gueltige_Zweitstimmen_diff","SPD_Erststimmen_then","SPD_Erststimmen_prev","SPD_Erststimmen_diff","SPD_Zweitstimmen_then","SPD_Zweitstimmen_prev","SPD_Zweitstimmen_diff","CDU/CSU_Erststimmen_then","CDU/CSU_Erststimmen_prev","CDU/CSU_Erststimmen_diff","CDU/CSU_Zweitstimmen_then","CDU/CSU_Zweitstimmen_prev","CDU/CSU_Zweitstimmen_diff","n_changed_metrics","only_eligible_erst_changed"
74,"Berlin-Mitte",75,207010,207483,-473,207010,207483,-473,140655,152506,-11851,140655,152506,-11851,2061,2296,-235,1856,2087,-231,138594,150210,-11616,138799,150419,-11620,30611,34072,-3461,28881,32133,-3252,19216,20002,-786,16526,16856,-330,12,FALSE
75,"Berlin-Pankow",76,233069,235647,-2578,233069,235647,-2578,135593,184636,-49043,135593,184636,-49043,1459,2530,-1071,1251,2252,-1001,134134,182106,-47972,134342,182384,-48042,21387,39131,-17744,20245,40174,-19929,23439,23045,394,22455,21285,1170,12,FALSE
76,"Berlin-Reinickendorf",77,175195,176585,-1390,175195,176585,-1390,114070,128577,-14507,114070,128577,-14507,2361,2951,-590,2118,2678,-560,111709,125626,-13917,111952,125899,-13947,26901,32445,-5544,25740,31447,-5707,32972,34233,-1261,29580,30272,-692,12,FALSE
77,"Berlin-Spandau – Charlottenburg Nord",78,179896,180251,-355,179896,180251,-355,122863,126551,-3688,122863,126551,-3688,3048,3394,-346,2908,3022,-114,119815,123157,-3342,119955,123529,-3574,39062,40451,-1389,32853,34233,-1380,28647,28904,-257,26158,26266,-108,12,FALSE
78,"Berlin-Steglitz-Zehlendorf",79,217506,217814,-308,217506,217814,-308,171803,177241,-5438,171803,177241,-5438,2261,2421,-160,2223,2372,-149,169542,174820,-5278,169580,174869,-5289,41371,43465,-2094,40677,42910,-2233,48530,48959,-429,39905,39943,-38,12,FALSE
79,"Berlin-Charlottenburg-Wilmersdorf",80,195586,196800,-1214,195586,196800,-1214,133235,155726,-22491,133235,155726,-22491,1419,1920,-501,1436,1943,-507,131816,153806,-21990,131799,153783,-21984,33723,42934,-9211,28894,36986,-8092,33023,34308,-1285,29035,29199,-164,12,FALSE
80,"Berlin-Tempelhof-Schöneberg",81,231477,231500,-23,231477,231500,-23,172069,178035,-5966,172069,178035,-5966,2613,2786,-173,2731,2898,-167,169456,175249,-5793,169338,175137,-5799,45220,47451,-2231,41215,43381,-2166,37902,38400,-498,31751,31883,-132,12,FALSE
81,"Berlin-Neukölln",82,196593,197037,-444,196593,197037,-444,134004,139712,-5708,134004,139712,-5708,2926,3167,-241,2480,2701,-221,131078,136545,-5467,131524,137011,-5487,33880,35530,-1650,31498,33080,-1582,25173,25577,-404,22400,22695,-295,12,FALSE
82,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",83,218824,220014,-1190,218824,220014,-1190,151276,172469,-21193,151276,172469,-21193,1644,2102,-458,1507,1828,-321,149632,170367,-20735,149769,170641,-20872,24416,29619,-5203,26326,32745,-6419,12706,13030,-324,11990,11910,80,12,FALSE
83,"Berlin-Treptow-Köpenick",84,206999,207127,-128,206999,207127,-128,156625,158748,-2123,156625,158748,-2123,2450,2509,-59,2754,2818,-64,154175,156239,-2064,153871,155930,-2059,23684,24133,-449,35690,36564,-874,21016,21142,-126,20562,20559,3,12,FALSE
84,"Berlin-Marzahn-Hellersdorf",85,198002,197988,14,198002,197988,14,133719,137133,-3414,133719,137133,-3414,2658,2783,-125,2870,3017,-147,131061,134350,-3289,130849,134116,-3267,18901,19892,-991,29991,31463,-1472,38914,39543,-629,21887,21954,-67,12,FALSE
85,"Berlin-Lichtenberg",86,200461,200673,-212,200461,200673,-212,143826,145569,-1743,143826,145569,-1743,2719,2772,-53,2659,2706,-47,141107,142797,-1690,141167,142863,-1696,27413,28040,-627,32403,33173,-770,17696,17695,1,16891,16869,22,12,FALSE
