"district_number","flag_false_positive","flag_missed_official","district_name","federal_state"
52,TRUE,FALSE,"Goslar – Northeim – Göttingen II",3
53,TRUE,FALSE,"Göttingen I",3
74,TRUE,FALSE,"Berlin-Mitte",11
75,TRUE,FALSE,"Berlin-Pankow",11
76,TRUE,FALSE,"Berlin-Reinickendorf",11
77,TRUE,FALSE,"Berlin-Spandau – Charlottenburg Nord",11
78,TRUE,FALSE,"Berlin-Steglitz-Zehlendorf",11
79,TRUE,FALSE,"Berlin-Charlottenburg-Wilmersdorf",11
80,TRUE,FALSE,"Berlin-Tempelhof-Schöneberg",11
81,TRUE,FALSE,"Berlin-Neukölln",11
82,TRUE,FALSE,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost",11
83,TRUE,FALSE,"Berlin-Treptow-Köpenick",11
84,TRUE,FALSE,"Berlin-Marzahn-Hellersdorf",11
85,TRUE,FALSE,"Berlin-Lichtenberg",11
